#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k127_2851 flag=1 multi=38.0000 len=1340	69.8336	1340	0.6134	100.0000	1340	366	380	0.5946	72	17.00
k127_3198 flag=0 multi=66.3236 len=1632	73.4939	1632	0.6158	100.0000	1632	476	482	0.5985	69	18.91
k127_9925 flag=0 multi=106.2232 len=1274	180.4388	1274	0.6044	100.0000	1274	838	925	0.5964	167	95.30
k127_10351 flag=0 multi=53.9971 len=2928	53.7012	2928	0.6134	100.0000	2928	621	614	0.5948	51	21.21
k127_11534 flag=0 multi=93.4647 len=2066	46.9022	2066	0.5963	100.0000	2066	386	373	0.5795	48	12.61
k127_13537 flag=0 multi=94.2560 len=2486	62.1134	2486	0.6372	100.0000	2486	629	618	0.6143	60	19.60
k127_15334 flag=1 multi=79.8847 len=1489	70.3405	1489	0.6118	100.0000	1489	422	405	0.5849	77	30.32
k127_16672 flag=1 multi=98.0000 len=1311	147.7788	1311	0.6537	100.0000	1311	772	733	0.6121	88	116.18
k127_17767 flag=0 multi=133.5386 len=1629	68.2652	1629	0.6556	100.0000	1629	429	434	0.6226	69	24.80
k127_24471 flag=0 multi=81.6314 len=1147	75.7559	1147	0.6347	100.0000	1147	345	340	0.6161	76	15.84
k127_24612 flag=0 multi=74.9035 len=1308	99.1369	1308	0.6376	100.0000	1308	505	513	0.6114	94	31.72
k127_25117 flag=1 multi=97.5695 len=2415	85.5375	2415	0.6352	100.0000	2415	801	818	0.6123	88	26.53
k127_25962 flag=1 multi=94.5931 len=2899	47.6164	2899	0.6240	100.0000	2899	521	533	0.5996	55	24.96
k127_30465 flag=0 multi=124.6275 len=5365	59.4861	5365	0.6296	100.0000	5365	1258	1251	0.5877	55	24.73
k127_52139 flag=1 multi=100.0000 len=2793	71.0960	2793	0.6251	100.0000	2793	790	768	0.6101	67	16.71
k127_58937 flag=1 multi=60.1878 len=1874	75.5880	1874	0.6158	100.0000	1874	570	543	0.6055	79	15.99
k127_62403 flag=0 multi=90.2198 len=2152	75.3350	2152	0.6324	100.0000	2152	618	624	0.6105	76	24.00
k127_63995 flag=0 multi=147.4088 len=1015	69.1665	1015	0.6177	100.0000	1015	269	284	0.6009	73	21.67
