#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k127_2851 flag=1 multi=38.0000 len=1340	20.7515	1340	0.6134	100.0000	1340	111	114	0.6131	18	8.14
k127_3198 flag=0 multi=66.3236 len=1632	22.8511	1632	0.6158	100.0000	1632	149	151	0.6212	14	21.35
k127_9925 flag=0 multi=106.2232 len=1274	19.5581	1274	0.6044	100.0000	1274	99	98	0.6083	19	10.07
k127_10351 flag=0 multi=53.9971 len=2928	9.8893	2928	0.6134	99.8634	2924	108	114	0.5981	10	4.92
k127_11534 flag=0 multi=93.4647 len=2066	6.9371	2066	0.5963	95.7890	1979	54	58	0.5852	6	4.45
k127_13537 flag=0 multi=94.2560 len=2486	9.6323	2486	0.6372	100.0000	2486	100	98	0.6342	10	3.74
k127_15334 flag=1 multi=79.8847 len=1489	15.4030	1489	0.6118	89.7918	1337	85	93	0.6049	17	8.33
k127_16672 flag=1 multi=98.0000 len=1311	161.7376	1311	0.6537	100.0000	1311	809	803	0.6159	91	159.32
k127_17767 flag=0 multi=133.5386 len=1629	15.9337	1629	0.6556	100.0000	1629	103	108	0.6284	16	7.33
k127_24471 flag=0 multi=81.6314 len=1147	29.1090	1147	0.6347	100.0000	1147	127	126	0.6355	25	16.45
k127_24612 flag=0 multi=74.9035 len=1308	62.3853	1308	0.6376	100.0000	1308	302	337	0.6187	39	49.52
k127_25117 flag=1 multi=97.5695 len=2415	53.7785	2415	0.6352	100.0000	2415	500	513	0.6448	32	47.05
k127_25962 flag=1 multi=94.5931 len=2899	5.2656	2899	0.6240	80.4070	2331	57	66	0.6370	3	5.91
k127_30465 flag=0 multi=124.6275 len=5365	6.9012	5365	0.6296	62.9264	3376	149	157	0.6327	5	10.40
k127_52139 flag=1 multi=100.0000 len=2793	10.2875	2793	0.6251	98.3888	2748	122	107	0.6347	8	7.70
k127_58937 flag=1 multi=60.1878 len=1874	10.8837	1874	0.6158	97.7588	1832	78	78	0.6244	10	5.35
k127_62403 flag=0 multi=90.2198 len=2152	23.7988	2152	0.6324	100.0000	2152	197	205	0.6233	21	12.30
k127_63995 flag=0 multi=147.4088 len=1015	13.5586	1015	0.6177	97.0443	985	52	59	0.6178	11	8.49
k127_64582 flag=1 multi=107.0000 len=1565	7.3118	1565	0.6307	78.2748	1225	39	66	0.6171	4	11.70
k127_66623 flag=0 multi=94.0509 len=6083	17.5030	6083	0.6334	100.0000	6083	383	412	0.6371	15	12.09
k127_68297 flag=0 multi=188.7784 len=1210	8.2876	1210	0.6083	98.5950	1193	38	37	0.5758	5	8.15
k127_69888 flag=0 multi=389.3613 len=1306	10.8752	1306	0.6286	88.8974	1161	58	59	0.6359	11	7.69
k127_74921 flag=0 multi=87.0000 len=1455	37.7973	1455	0.6282	100.0000	1455	230	216	0.6135	38	16.46
k127_75626 flag=0 multi=45.8532 len=1081	15.0028	1081	0.6216	99.2599	1073	65	68	0.6007	14	7.54
k127_82521 flag=0 multi=114.3656 len=2917	13.8588	2917	0.6222	75.8313	2212	158	172	0.6538	10	15.92
k127_83136 flag=0 multi=125.5232 len=8092	3.1876	8092	0.6330	86.3322	6986	101	99	0.6221	3	2.80
k127_86049 flag=0 multi=145.0227 len=3823	14.5956	3823	0.6270	99.8431	3817	213	219	0.6211	14	6.68
k127_87480 flag=0 multi=119.1430 len=3086	31.6073	3086	0.6458	100.0000	3086	398	390	0.6344	26	20.03
k127_89023 flag=0 multi=74.1869 len=1224	18.8121	1224	0.6054	100.0000	1224	91	96	0.5993	15	9.92
k127_89589 flag=0 multi=101.5698 len=1803	33.1359	1803	0.5973	97.8924	1765	222	226	0.5892	30	22.03
k127_97303 flag=1 multi=118.0000 len=1944	33.3765	1944	0.6523	99.0226	1925	246	280	0.6501	18	34.02
k127_104024 flag=0 multi=109.2953 len=1187	9.2435	1187	0.6529	99.2418	1178	41	43	0.6315	9	4.42
k127_104244 flag=0 multi=89.0887 len=1649	12.2335	1649	0.6246	96.5434	1592	72	82	0.6157	13	6.27
k127_106586 flag=1 multi=98.0000 len=1220	16.3492	1220	0.6033	96.7213	1180	77	74	0.5878	12	12.89
k127_108207 flag=0 multi=60.0093 len=1090	43.6633	1090	0.6514	100.0000	1090	174	191	0.6450	46	20.77
k127_110765 flag=0 multi=138.3172 len=5512	22.3302	5512	0.6529	95.3374	5255	502	494	0.6451	12	32.62
k127_111384 flag=0 multi=148.3629 len=6760	38.8348	6760	0.6444	100.0000	6760	973	1037	0.6404	31	26.88
k127_126814 flag=0 multi=100.2273 len=2666	16.2239	2666	0.6377	98.1245	2616	172	173	0.6266	16	6.98
k127_129961 flag=0 multi=159.0000 len=1092	18.0604	1092	0.6419	100.0000	1092	77	79	0.6459	18	6.27
k127_130744 flag=0 multi=102.9065 len=3635	75.3733	3635	0.6380	100.0000	3635	968	1087	0.6270	46	80.16
k127_142440 flag=1 multi=117.1549 len=3723	27.2200	3723	0.6317	100.0000	3723	390	402	0.6380	21	22.41
k127_143562 flag=0 multi=150.0430 len=4731	2.5153	4731	0.6102	61.3190	2901	45	57	0.6372	1	3.10
k127_144406 flag=0 multi=130.0180 len=1237	22.9951	1237	0.5893	98.3023	1216	115	113	0.6015	20	15.79
k127_145390 flag=1 multi=73.7465 len=1855	11.6054	1855	0.5941	97.9515	1817	78	87	0.5697	8	9.93
k127_149150 flag=0 multi=67.0000 len=1753	145.4535	1753	0.6389	100.0000	1753	935	1003	0.6271	149	64.59
k127_150136 flag=0 multi=70.2634 len=1038	138.4066	1038	0.6618	92.1002	956	544	588	0.6335	134	92.07
k127_157269 flag=0 multi=78.3211 len=1301	15.9808	1301	0.6042	99.0008	1288	81	83	0.6120	18	9.98
k127_160339 flag=1 multi=84.9103 len=1008	27.6687	1008	0.6022	84.3254	850	99	110	0.6252	26	22.85
k127_166973 flag=1 multi=105.0000 len=1188	19.0244	1188	0.6263	92.1717	1095	83	104	0.6333	19	13.32
k127_171090 flag=0 multi=80.6583 len=9046	9.0001	9046	0.6145	90.2277	8162	311	319	0.6062	7	7.79
k127_176131 flag=0 multi=131.3772 len=1792	6.4263	1792	0.6116	98.8839	1772	47	43	0.6141	6	4.09
k127_180550 flag=1 multi=137.2748 len=2951	12.4310	2951	0.6344	98.9156	2919	158	143	0.6416	10	11.15
k127_182661 flag=0 multi=97.0944 len=2754	18.7672	2754	0.6184	100.0000	2754	194	210	0.6188	18	8.00
k127_184176 flag=1 multi=167.0000 len=1165	51.1871	1165	0.6386	100.0000	1165	235	245	0.6486	50	23.80
k127_189940 flag=1 multi=54.3094 len=1378	16.5595	1378	0.6197	95.2104	1312	93	84	0.6214	12	16.50
k127_191292 flag=1 multi=84.0000 len=1821	6.7946	1821	0.6178	74.0802	1349	49	46	0.6356	6	6.13
k127_195295 flag=1 multi=124.4884 len=3014	19.6211	3014	0.6009	100.0000	3014	234	240	0.6062	19	13.28
k127_197537 flag=0 multi=156.6007 len=1552	27.9336	1552	0.6289	40.3351	626	156	175	0.6145	0	55.61
k127_199316 flag=0 multi=86.9284 len=2656	13.8381	2656	0.6461	99.3976	2640	136	146	0.6508	13	6.43
k127_209029 flag=0 multi=113.3507 len=1878	3.9137	1878	0.6070	84.9840	1596	26	31	0.6197	3	3.11
k127_209430 flag=0 multi=126.8617 len=1963	14.4086	1963	0.6490	100.0000	1963	117	105	0.6348	13	7.23
k127_217725 flag=1 multi=156.7216 len=3335	15.1550	3335	0.6042	98.1109	3272	197	196	0.6147	14	9.23
k127_223065 flag=0 multi=173.3590 len=7570	40.7962	7570	0.6347	97.6618	7393	1177	1184	0.6200	26	41.32
k127_224832 flag=0 multi=76.8761 len=4357	18.6507	4357	0.6224	98.7836	4304	315	323	0.6227	12	17.16
k127_225526 flag=0 multi=82.5041 len=2910	33.6832	2910	0.6395	100.0000	2910	374	403	0.6268	26	27.45
k127_232734 flag=0 multi=101.1261 len=2633	20.1170	2633	0.6510	100.0000	2633	202	220	0.6376	18	9.61
k127_243820 flag=1 multi=143.5427 len=4378	17.6640	4378	0.5861	93.7643	4105	301	295	0.6003	13	15.14
k127_243889 flag=1 multi=90.5390 len=1717	12.6872	1717	0.6220	100.0000	1717	72	90	0.6160	11	7.42
k127_254421 flag=0 multi=107.1701 len=1373	8.5710	1373	0.6264	85.3605	1172	47	44	0.6313	10	5.10
k127_255799 flag=1 multi=62.0000 len=1052	7.1008	1052	0.5998	100.0000	1052	31	27	0.5882	6	5.12
k127_262140 flag=1 multi=38.6742 len=1146	8.5916	1146	0.6230	95.2007	1091	40	39	0.6344	8	5.50
k127_267785 flag=0 multi=55.9258 len=1649	41.0133	1649	0.6313	100.0000	1649	266	269	0.6379	46	18.91
k127_268343 flag=1 multi=83.1813 len=1616	52.7655	1616	0.6281	100.0000	1616	332	335	0.6090	50	22.68
k127_277340 flag=1 multi=149.9981 len=1207	2.5095	1207	0.6321	64.7887	782	11	14	0.6150	2	2.51
k127_278673 flag=0 multi=154.9746 len=3232	2.1563	3232	0.6247	46.2871	1496	27	27	0.5910	0	2.96
k127_284816 flag=1 multi=92.4289 len=4799	39.8521	4799	0.6278	100.0000	4799	729	788	0.6285	27	33.29
k127_290245 flag=1 multi=73.1175 len=1582	13.5910	1582	0.6340	97.5980	1544	85	89	0.6274	11	10.62
k127_290989 flag=0 multi=150.8281 len=1890	11.9196	1890	0.6254	100.0000	1890	88	92	0.5941	10	9.34
k127_296243 flag=0 multi=73.3927 len=1171	22.1435	1171	0.6447	100.0000	1171	99	109	0.6335	20	9.66
k127_301392 flag=0 multi=129.4402 len=1456	9.4615	1456	0.6250	99.2445	1445	52	51	0.6303	10	5.30
k127_306749 flag=0 multi=81.1765 len=1079	108.9741	1079	0.6358	100.0000	1079	470	442	0.6318	111	48.25
k127_308454 flag=1 multi=83.6336 len=8079	28.4793	8079	0.6019	61.9507	5005	907	896	0.6515	10	42.74
k127_318657 flag=0 multi=80.2152 len=1986	57.2256	1986	0.6344	100.0000	1986	419	454	0.6213	46	38.16
k127_328552 flag=0 multi=102.8510 len=8227	11.8100	8227	0.6000	97.7878	8045	320	320	0.5901	11	6.50
k127_330347 flag=0 multi=146.0000 len=3227	49.9160	3227	0.6601	100.0000	3227	597	655	0.6565	46	25.17
k127_331419 flag=0 multi=130.0000 len=1246	30.5770	1246	0.6461	94.7833	1181	151	144	0.6011	16	35.41
k127_340999 flag=0 multi=106.0823 len=1985	8.0484	1985	0.6060	73.1486	1452	58	69	0.6119	9	6.40
k127_358058 flag=0 multi=190.3101 len=3339	16.2833	3339	0.6235	100.0000	3339	206	221	0.6166	15	8.47
k127_370837 flag=0 multi=135.5851 len=2202	11.9455	2202	0.5908	98.1835	2162	99	99	0.5757	11	6.20
k127_372549 flag=0 multi=108.0000 len=1406	17.6309	1406	0.6152	100.0000	1406	96	100	0.6205	12	15.65
k127_375641 flag=0 multi=129.4392 len=3649	0.5700	3649	0.6081	33.6531	1228	9	10	0.5785	0	1.06
k127_379593 flag=0 multi=104.2115 len=1763	18.1032	1763	0.6381	100.0000	1763	125	129	0.6324	18	6.92
k127_381964 flag=0 multi=109.1009 len=2010	17.6756	2010	0.6070	100.0000	2010	131	130	0.5911	17	7.91
k127_383275 flag=0 multi=142.5800 len=2034	29.6942	2034	0.6042	100.0000	2034	217	241	0.5966	31	11.41
k127_383706 flag=0 multi=114.3017 len=1002	15.5269	1002	0.5998	99.1018	993	57	58	0.5875	16	7.18
k127_386841 flag=0 multi=250.1407 len=1968	21.5452	1968	0.6362	92.5305	1821	162	172	0.6374	15	22.72
k127_389746 flag=0 multi=172.0000 len=1180	4.7932	1180	0.6169	44.9153	530	25	28	0.6013	0	8.03
k127_408798 flag=1 multi=242.6688 len=2310	4.4498	2310	0.6104	60.6494	1401	36	43	0.6056	1	6.49
k127_422979 flag=0 multi=114.0316 len=2845	32.5016	2845	0.6095	100.0000	2845	342	358	0.6002	22	28.56
k127_430725 flag=0 multi=132.2573 len=1779	20.1872	1779	0.6318	99.7752	1775	135	141	0.6244	18	9.15
k127_431591 flag=0 multi=188.3080 len=4634	20.6254	4634	0.6437	94.7993	4393	359	382	0.6371	19	11.34
k127_437131 flag=0 multi=131.3791 len=2026	21.4995	2026	0.6471	100.0000	2026	175	177	0.6352	19	10.41
k127_439171 flag=0 multi=76.0000 len=2423	11.0710	2423	0.6335	100.0000	2423	103	108	0.6291	9	8.57
k127_447155 flag=0 multi=106.0654 len=1687	55.5619	1687	0.6135	91.2863	1540	357	378	0.6271	47	56.49
k127_448827 flag=0 multi=172.1346 len=1791	20.2379	1791	0.6505	100.0000	1791	150	147	0.6405	20	9.10
k127_451056 flag=0 multi=118.8752 len=3678	43.5846	3678	0.6286	100.0000	3678	602	618	0.6011	20	52.45
k127_458364 flag=0 multi=85.0521 len=1893	26.4797	1893	0.6265	95.6154	1810	187	197	0.6305	23	16.75
k127_459623 flag=0 multi=73.8756 len=1132	53.5945	1132	0.6237	100.0000	1132	221	231	0.6106	38	47.96
k127_463867 flag=0 multi=148.0000 len=1347	32.1752	1347	0.6273	100.0000	1347	166	179	0.6415	29	23.44
k127_464873 flag=1 multi=127.0000 len=1650	21.8648	1650	0.6067	100.0000	1650	135	145	0.6131	21	9.03
k127_468105 flag=0 multi=127.7966 len=4159	27.4638	4159	0.6487	99.7836	4150	439	453	0.6359	16	26.85
k127_474725 flag=0 multi=90.1748 len=1878	34.0080	1878	0.6187	100.0000	1878	250	249	0.6144	27	20.49
k127_491673 flag=0 multi=81.9377 len=2761	13.7284	2761	0.6360	100.0000	2761	148	148	0.6331	14	7.27
k127_493254 flag=1 multi=135.6010 len=1771	39.0486	1771	0.6228	100.0000	1771	258	279	0.6210	24	37.43
k127_493399 flag=0 multi=101.0675 len=1638	25.8132	1638	0.6325	100.0000	1638	178	179	0.6117	15	23.37
k127_498339 flag=0 multi=161.8777 len=2867	26.2776	2867	0.6191	96.0237	2753	299	293	0.6346	14	31.62
k127_498603 flag=1 multi=162.6302 len=2201	38.0959	2201	0.6025	100.0000	2201	324	322	0.6194	17	55.40
k127_499225 flag=0 multi=177.7025 len=2134	10.4325	2134	0.6082	100.0000	2134	99	91	0.6034	9	4.91
k127_505161 flag=0 multi=54.4991 len=1269	24.4444	1269	0.6162	98.5028	1250	128	107	0.6138	23	17.12
k127_507642 flag=0 multi=147.3194 len=2801	36.8758	2801	0.6366	100.0000	2801	404	389	0.6328	25	29.97
k127_520242 flag=0 multi=121.6626 len=12834	16.0741	12834	0.6209	95.8314	12299	812	799	0.6298	8	31.81
k127_527506 flag=0 multi=47.8213 len=1134	27.7046	1134	0.6120	100.0000	1134	127	117	0.6082	21	23.28
k127_545920 flag=0 multi=115.0952 len=1450	26.7572	1450	0.6462	100.0000	1450	143	159	0.6178	20	17.60
k127_546650 flag=0 multi=99.1467 len=1988	15.3803	1988	0.6258	91.9517	1828	121	120	0.6098	14	10.58
k127_546799 flag=0 multi=112.1807 len=2429	12.8110	2429	0.6196	100.0000	2429	129	129	0.6001	12	4.70
k127_548092 flag=0 multi=123.4547 len=2700	20.7507	2700	0.6493	98.3333	2655	212	246	0.6450	20	14.21
k127_550096 flag=1 multi=139.9753 len=2233	17.7703	2233	0.6220	100.0000	2233	163	159	0.6198	16	7.10
k127_554637 flag=0 multi=86.0337 len=3277	11.0427	3277	0.5886	99.9085	3274	135	138	0.5888	11	5.83
k127_554682 flag=1 multi=35.0000 len=1181	22.0982	1181	0.6190	99.9153	1180	91	113	0.6334	18	11.64
k127_556328 flag=0 multi=59.0586 len=1117	6.5139	1117	0.6007	99.6419	1113	32	25	0.6009	6	2.46
k127_557350 flag=0 multi=93.6044 len=3517	18.0006	3517	0.6352	99.6872	3506	241	255	0.6242	16	10.86
k127_558723 flag=0 multi=102.0000 len=2147	13.6195	2147	0.6171	99.5808	2138	113	113	0.6126	14	5.17
k127_562292 flag=1 multi=43.2975 len=2399	16.7474	2399	0.6311	98.0409	2352	152	166	0.6205	12	13.86
k127_567670 flag=0 multi=91.1913 len=2244	23.0022	2244	0.6381	100.0000	2244	198	195	0.6235	21	12.10
k127_570572 flag=1 multi=91.8822 len=1630	107.8018	1630	0.6442	99.2638	1618	643	677	0.6367	37	128.78
k127_571981 flag=1 multi=50.0000 len=1320	15.6856	1320	0.6242	97.2727	1284	84	77	0.6061	14	11.13
k127_576926 flag=0 multi=126.8208 len=2549	47.3684	2549	0.6269	100.0000	2549	460	449	0.6050	28	36.77
k127_582994 flag=1 multi=322.3905 len=1538	90.8869	1538	0.6365	100.0000	1538	501	540	0.6216	72	62.78
k127_587325 flag=0 multi=143.4811 len=1900	41.6637	1900	0.6400	100.0000	1900	311	302	0.6346	35	22.43
k127_590107 flag=1 multi=56.6034 len=1877	9.3969	1877	0.6004	73.3085	1376	71	72	0.6131	10	7.74
k127_595386 flag=1 multi=54.0000 len=1772	21.3064	1772	0.6163	100.0000	1772	149	149	0.6027	20	11.72
k127_595897 flag=0 multi=118.2534 len=5269	17.1945	5269	0.6138	99.5445	5245	330	381	0.6176	13	13.32
k127_598342 flag=1 multi=84.0000 len=1344	28.6600	1344	0.6109	100.0000	1344	150	147	0.6236	25	20.72
k127_605584 flag=1 multi=64.5312 len=2674	9.3063	2674	0.6215	83.4331	2231	90	107	0.6142	10	6.85
k127_606138 flag=0 multi=137.9388 len=3021	33.3585	3021	0.6273	100.0000	3021	371	404	0.6096	26	29.10
k127_618504 flag=0 multi=46.9891 len=1047	22.0802	1047	0.6170	100.0000	1047	88	93	0.5976	13	18.83
k127_619229 flag=0 multi=245.9861 len=3072	12.2458	3072	0.6191	94.2708	2896	133	148	0.6207	9	11.95
k127_621679 flag=0 multi=144.2826 len=1546	0.7840	1546	0.6248	30.4010	470	8	4	0.6689	0	1.62
k127_623704 flag=0 multi=96.4974 len=2650	18.8611	2650	0.6468	100.0000	2650	189	195	0.6492	18	7.93
k127_624424 flag=0 multi=95.3074 len=7592	7.5612	7592	0.6071	57.9031	4396	214	231	0.6129	2	10.48
k127_624673 flag=0 multi=88.0000 len=2879	126.6676	2879	0.6190	100.0000	2879	1444	1442	0.6073	127	32.70
k127_624992 flag=1 multi=61.2700 len=1349	15.4967	1349	0.6197	100.0000	1349	81	80	0.6079	15	5.47
k127_626011 flag=1 multi=120.0000 len=2141	49.8118	2141	0.6193	76.6931	1642	425	429	0.6422	36	46.35
k127_626983 flag=0 multi=74.0000 len=1953	73.5863	1953	0.5960	100.0000	1953	526	559	0.6120	58	64.81
k127_627275 flag=0 multi=155.6082 len=2179	22.0023	2179	0.6306	100.0000	2179	177	188	0.6248	22	9.22
k127_627984 flag=0 multi=245.3894 len=1239	11.5819	1239	0.5989	96.8523	1200	54	62	0.6065	13	7.43
k127_632570 flag=0 multi=155.8008 len=1121	54.6450	1121	0.6307	100.0000	1121	233	242	0.6135	32	52.56
k127_636949 flag=0 multi=93.3787 len=1529	32.9941	1529	0.6449	100.0000	1529	200	205	0.6235	20	33.77
k127_645175 flag=0 multi=104.0754 len=1135	13.2705	1135	0.6123	100.0000	1135	56	67	0.6172	14	5.24
k127_655372 flag=0 multi=98.6041 len=4603	6.0352	4603	0.6027	97.1540	4472	110	105	0.5994	5	3.86
k127_658601 flag=0 multi=114.1360 len=1487	9.0101	1487	0.6261	93.8130	1395	50	58	0.6336	7	7.61
k127_661128 flag=1 multi=69.0000 len=2062	29.2444	2062	0.6183	98.7876	2037	238	227	0.6403	29	18.67
