#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k127_2851 flag=1 multi=38.0000 len=1340	66.9791	1340	0.6134	100.0000	1340	346	368	0.6008	66	16.21
k127_3198 flag=0 multi=66.3236 len=1632	74.3732	1632	0.6158	100.0000	1632	479	479	0.6042	68	29.66
k127_9925 flag=0 multi=106.2232 len=1274	204.2567	1274	0.6044	97.6452	1244	977	1047	0.5965	183	121.32
k127_10351 flag=0 multi=53.9971 len=2928	53.0803	2928	0.6134	100.0000	2928	620	624	0.5897	48	21.22
k127_11534 flag=0 multi=93.4647 len=2066	45.5252	2066	0.5963	100.0000	2066	368	367	0.5796	44	17.78
k127_13537 flag=0 multi=94.2560 len=2486	54.4014	2486	0.6372	100.0000	2486	561	557	0.6148	55	17.56
k127_15334 flag=1 multi=79.8847 len=1489	63.6696	1489	0.6118	100.0000	1489	391	375	0.5879	60	26.95
k127_16672 flag=1 multi=98.0000 len=1311	154.4203	1311	0.6537	100.0000	1311	843	766	0.6146	107	123.43
k127_17767 flag=0 multi=133.5386 len=1629	57.8754	1629	0.6556	100.0000	1629	376	395	0.6257	57	19.38
k127_24471 flag=0 multi=81.6314 len=1147	71.6574	1147	0.6347	100.0000	1147	332	328	0.6128	73	12.70
k127_24612 flag=0 multi=74.9035 len=1308	84.4534	1308	0.6376	100.0000	1308	444	448	0.6108	72	33.46
k127_25117 flag=1 multi=97.5695 len=2415	82.6050	2415	0.6352	100.0000	2415	762	802	0.6213	87	30.15
k127_25962 flag=1 multi=94.5931 len=2899	25.9096	2899	0.6240	100.0000	2899	298	301	0.6046	27	11.21
k127_30465 flag=0 multi=124.6275 len=5365	35.4878	5365	0.6296	100.0000	5365	785	770	0.5947	32	20.52
k127_52139 flag=1 multi=100.0000 len=2793	56.2284	2793	0.6251	100.0000	2793	617	630	0.6085	52	20.33
k127_58937 flag=1 multi=60.1878 len=1874	66.6505	1874	0.6158	100.0000	1874	527	458	0.6022	67	17.50
k127_62403 flag=0 multi=90.2198 len=2152	67.8206	2152	0.6324	100.0000	2152	555	573	0.6097	69	18.35
k127_63995 flag=0 multi=147.4088 len=1015	49.9488	1015	0.6177	100.0000	1015	202	204	0.6045	52	15.68
k127_64582 flag=1 multi=107.0000 len=1565	74.8275	1565	0.6307	95.3355	1492	472	480	0.6141	77	34.89
k127_66623 flag=0 multi=94.0509 len=6083	57.2786	6083	0.6334	100.0000	6083	1337	1341	0.6164	54	21.67
k127_68297 flag=0 multi=188.7784 len=1210	63.8612	1210	0.6083	100.0000	1210	291	297	0.5898	61	22.47
k127_69888 flag=0 multi=389.3613 len=1306	61.0988	1306	0.6286	100.0000	1306	317	318	0.5991	64	20.28
k127_74921 flag=0 multi=87.0000 len=1455	24.0715	1455	0.6282	92.4399	1345	143	138	0.5810	22	15.05
k127_75626 flag=0 multi=45.8532 len=1081	62.6716	1081	0.6216	100.0000	1081	276	279	0.5936	54	29.87
k127_82521 flag=0 multi=114.3656 len=2917	42.1426	2917	0.6222	100.0000	2917	504	506	0.6266	36	30.15
k127_83136 flag=0 multi=125.5232 len=8092	35.1500	8092	0.6330	100.0000	8092	1134	1127	0.6090	36	11.95
k127_86049 flag=0 multi=145.0227 len=3823	44.4423	3823	0.6270	100.0000	3823	668	676	0.6074	41	19.62
k127_87480 flag=0 multi=119.1430 len=3086	76.7161	3086	0.6458	100.0000	3086	946	948	0.6174	76	27.61
k127_89023 flag=0 multi=74.1869 len=1224	74.5613	1224	0.6054	100.0000	1224	353	394	0.5856	68	22.77
k127_89589 flag=0 multi=101.5698 len=1803	56.4398	1803	0.5973	95.9512	1730	386	388	0.5837	59	26.42
k127_97303 flag=1 multi=118.0000 len=1944	62.8843	1944	0.6523	100.0000	1944	475	500	0.6421	60	21.85
k127_104024 flag=0 multi=109.2953 len=1187	112.9158	1187	0.6529	100.0000	1187	541	527	0.6219	125	34.14
k127_104244 flag=0 multi=89.0887 len=1649	39.5130	1649	0.6246	100.0000	1649	265	252	0.6021	41	14.25
k127_106586 flag=1 multi=98.0000 len=1220	56.8910	1220	0.6033	100.0000	1220	301	232	0.5790	52	25.68
k127_108207 flag=0 multi=60.0093 len=1090	75.7303	1090	0.6514	100.0000	1090	322	336	0.6246	77	25.96
k127_110765 flag=0 multi=138.3172 len=5512	56.7518	5512	0.6529	99.9819	5511	1303	1278	0.6341	57	31.14
k127_111384 flag=0 multi=148.3629 len=6760	89.6717	6760	0.6444	100.0000	6760	2355	2374	0.6271	80	34.59
k127_126814 flag=0 multi=100.2273 len=2666	51.2731	2666	0.6377	99.9250	2664	560	539	0.6146	53	15.68
k127_129961 flag=0 multi=159.0000 len=1092	66.6355	1092	0.6419	100.0000	1092	285	296	0.6249	67	14.96
k127_130744 flag=0 multi=102.9065 len=3635	88.3186	3635	0.6380	100.0000	3635	1210	1243	0.6220	77	46.48
k127_142440 flag=1 multi=117.1549 len=3723	68.7529	3723	0.6317	100.0000	3723	1046	993	0.6128	72	23.37
k127_143562 flag=0 multi=150.0430 len=4731	41.6345	4731	0.6102	100.0000	4731	779	766	0.5883	38	21.38
k127_144406 flag=0 multi=130.0180 len=1237	75.9580	1237	0.5893	100.0000	1237	374	358	0.5840	78	30.25
k127_145390 flag=1 multi=73.7465 len=1855	36.8846	1855	0.5941	97.4124	1807	277	271	0.5740	31	25.62
k127_149150 flag=0 multi=67.0000 len=1753	61.9167	1753	0.6389	100.0000	1753	429	424	0.6199	61	24.08
k127_150136 flag=0 multi=70.2634 len=1038	92.3709	1038	0.6618	100.0000	1038	378	406	0.6226	98	65.30
k127_157269 flag=0 multi=78.3211 len=1301	45.3920	1301	0.6042	100.0000	1301	232	245	0.6001	51	27.39
k127_160339 flag=1 multi=84.9103 len=1008	38.7986	1008	0.6022	100.0000	1008	150	151	0.5957	45	17.33
k127_166973 flag=1 multi=105.0000 len=1188	52.2096	1188	0.6263	100.0000	1188	234	263	0.6207	61	28.35
