#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
k127_2851 flag=1 multi=38.0000 len=1340	38.5187	1340	0.6134	100.0000	1340	205	212	0.5918	36	13.44
k127_3198 flag=0 multi=66.3236 len=1632	52.3027	1632	0.6158	100.0000	1632	339	342	0.6043	48	22.20
k127_9925 flag=0 multi=106.2232 len=1274	121.8407	1274	0.6044	100.0000	1274	578	623	0.6005	110	66.78
k127_10351 flag=0 multi=53.9971 len=2928	32.7630	2928	0.6134	100.0000	2928	388	385	0.5971	31	11.80
k127_11534 flag=0 multi=93.4647 len=2066	25.8775	2066	0.5963	100.0000	2066	215	209	0.5866	24	11.97
k127_13537 flag=0 multi=94.2560 len=2486	35.8548	2486	0.6372	100.0000	2486	360	365	0.6165	35	11.64
k127_15334 flag=1 multi=79.8847 len=1489	43.5185	1489	0.6118	100.0000	1489	268	253	0.5921	47	18.91
k127_16672 flag=1 multi=98.0000 len=1311	125.8215	1311	0.6537	100.0000	1311	671	637	0.6177	91	106.60
k127_17767 flag=0 multi=133.5386 len=1629	35.1117	1629	0.6556	100.0000	1629	227	234	0.6271	35	12.03
k127_24471 flag=0 multi=81.6314 len=1147	47.5824	1147	0.6347	100.0000	1147	214	208	0.6262	45	11.88
k127_24612 flag=0 multi=74.9035 len=1308	69.7003	1308	0.6376	100.0000	1308	369	362	0.6129	62	31.05
k127_25117 flag=1 multi=97.5695 len=2415	53.1959	2415	0.6352	100.0000	2415	504	518	0.6188	54	18.49
k127_25962 flag=1 multi=94.5931 len=2899	28.3418	2899	0.6240	100.0000	2899	331	315	0.6051	30	15.86
k127_30465 flag=0 multi=124.6275 len=5365	32.0637	5365	0.6296	100.0000	5365	702	677	0.5995	30	12.14
k127_52139 flag=1 multi=100.0000 len=2793	42.5972	2793	0.6251	100.0000	2793	472	469	0.6133	42	12.74
